Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDC50,OUT019,557.0195586036299
FDV24,OUT013,2950.802451959768
DRF48,OUT010,677.2534011584064
FDQ47,OUT046,1370.8869648941231
DRN36,OUT049,1740.6500153156417
NCY06,OUT035,2170.5857789112197
FDE52,OUT035,2170.5857789112197
NCB54,OUT045,2169.036463260849
NCF31,OUT035,2678.8561136638555
FDJ08,OUT027,4229.8508764080125
NCC07,OUT017,2170.5857789112197
NCD19,OUT027,3389.3947128677587
FDL46,OUT049,1740.6500153156417
FDM20,OUT045,2613.1141493421233
NCI06,OUT010,677.2534011584064
DRM11,OUT035,2614.663464992494
NCH07,OUT018,2752.520455283355
FDS23,OUT013,2707.3156795629625
FDO49,OUT018,2267.07751788757
FDS35,OUT049,1370.8869648941231
DRK39,OUT045,2169.036463260849
DRI39,OUT049,1370.8869648941231
FDV04,OUT017,2678.8561136638555
NCN14,OUT035,2678.8561136638555
FDH08,OUT013,3531.4194682704156
FDS20,OUT046,2125.349497483324
FDV40,OUT049,1740.6500153156417
FDZ48,OUT010,667.962853750561
FDS24,OUT027,3858.799869487593
FDK44,OUT049,2125.349497483324
FDS48,OUT045,2677.3067980134847
FDK26,OUT010,677.2534011584064
FDD23,OUT045,2677.3067980134847
NCH54,OUT017,2678.8561136638555
NCP14,OUT010,667.962853750561
FDM60,OUT010,664.3634888735338
FDV24,OUT017,2678.8561136638555
FDH08,OUT018,3202.928103829106
FDS12,OUT027,3858.799869487593
FDR39,OUT027,4229.8508764080125
FDP12,OUT027,3389.3947128677587
DRF60,OUT027,5132.342222949802
FDC09,OUT035,2170.5857789112197
FDF50,OUT018,2752.520455283355
FDG28,OUT035,2614.663464992494
NCE19,OUT017,1842.8680109957897
NCM53,OUT010,667.962853750561
NCN18,OUT049,1740.6500153156417
FDF32,OUT035,2678.8561136638555
FDF11,OUT013,3531.4194682704156
DRI59,OUT049,2389.2437480902304
NCG54,OUT035,2678.8561136638555
FDM44,OUT046,1740.6500153156417
FDT57,OUT018,3202.928103829106
FDV24,OUT046,2125.349497483324
FDI50,OUT019,632.2882876531593
FDS09,OUT035,1842.8680109957897
NCC31,OUT027,4229.8508764080125
FDQ07,OUT019,632.2882876531593
FDC22,OUT017,2678.8561136638555
FDZ56,OUT046,2125.349497483324
FDZ40,OUT019,566.2304293299921
FDS46,OUT027,3858.799869487593
DRD24,OUT045,2677.3067980134847
FDV45,OUT017,2678.8561136638555
FDL26,OUT045,2677.3067980134847
FDA56,OUT018,2536.248951968297
FDN27,OUT046,1740.6500153156417
FDM20,OUT049,2389.2437480902304
FDO16,OUT017,2170.5857789112197
FDL03,OUT035,2678.8561136638555
FDE58,OUT046,1740.6500153156417
FDI02,OUT027,3858.799869487593
NCC55,OUT019,566.2304293299921
FDR03,OUT018,3202.928103829106
FDB14,OUT017,2170.5857789112197
FDR45,OUT013,3531.4194682704156
NCN07,OUT017,2170.5857789112197
FDM51,OUT019,557.0195586036299
FDT52,OUT027,5132.342222949802
FDL26,OUT046,2125.349497483324
NCZ42,OUT046,2386.2959774241044
DRI47,OUT019,597.2868342075113
FDW40,OUT013,2950.802451959768
FDN34,OUT046,2125.349497483324
FDS01,OUT035,2678.8561136638555
NCG55,OUT045,2169.036463260849
FDC11,OUT035,2170.5857789112197
FDX35,OUT018,3202.928103829106
NCB06,OUT046,2125.349497483324
FDR09,OUT019,632.2882876531593
FDC53,OUT017,2170.5857789112197
FDY45,OUT013,3531.4194682704156
FDA22,OUT010,677.2534011584064
FDE02,OUT035,2170.5857789112197
FDW21,OUT045,2169.036463260849
FDV34,OUT046,1370.8869648941231
FDS59,OUT049,1740.6500153156417
NCW17,OUT017,2170.5857789112197
NCK54,OUT046,1740.6500153156417
FDG17,OUT019,632.2882876531593
FDG35,OUT017,2678.8561136638555
FDD08,OUT010,664.3634888735338
NCO07,OUT017,2614.663464992494
FDJ10,OUT010,677.2534011584064
FDW36,OUT017,2170.5857789112197
FDW21,OUT010,667.962853750561
FDY19,OUT017,2170.5857789112197
DRE03,OUT013,2414.7191153318986
NCC55,OUT049,1370.8869648941231
FDH52,OUT010,664.3634888735338
FDO09,OUT017,2614.663464992494
FDU43,OUT045,2613.1141493421233
FDX09,OUT010,677.2534011584064
FDH40,OUT019,557.0195586036299
FDW58,OUT017,2170.5857789112197
FDC47,OUT017,2614.663464992494
NCR41,OUT035,2170.5857789112197
DRG49,OUT035,2614.663464992494
FDC52,OUT027,4229.8508764080125
FDY13,OUT046,1370.8869648941231
FDY35,OUT013,2414.7191153318986
FDI35,OUT017,2678.8561136638555
NCU18,OUT049,2125.349497483324
FDY33,OUT018,2752.520455283355
FDC15,OUT027,4229.8508764080125
FDU01,OUT049,2125.349497483324
NCU42,OUT046,2125.349497483324
NCV29,OUT018,2752.520455283355
NCY30,OUT017,2678.8561136638555
FDQ46,OUT049,1740.6500153156417
FDG58,OUT027,4229.8508764080125
FDK33,OUT017,2614.663464992494
NCD07,OUT045,2169.036463260849
NCX29,OUT027,4229.8508764080125
NCT42,OUT013,2950.802451959768
DRN59,OUT035,1842.8680109957897
FDI44,OUT035,2170.5857789112197
FDA45,OUT049,2125.349497483324
FDP31,OUT045,1842.8680109957897
FDY01,OUT046,1740.6500153156417
FDT09,OUT018,2536.248951968297
DRH03,OUT027,3858.799869487593
FDA36,OUT018,2752.520455283355
NCF31,OUT017,2678.8561136638555
FDG14,OUT049,2125.349497483324
FDG28,OUT027,5132.342222949802
FDU14,OUT049,2389.2437480902304
FDY47,OUT019,557.0195586036299
FDI56,OUT049,1740.6500153156417
DRD01,OUT013,2414.7191153318986
FDM22,OUT046,1370.8869648941231
FDH33,OUT013,2414.7191153318986
DRZ24,OUT013,2707.3156795629625
NCQ38,OUT046,1740.6500153156417
FDO16,OUT027,3858.799869487593
FDU07,OUT027,4229.8508764080125
NCB07,OUT013,2950.802451959768
FDU48,OUT045,2169.036463260849
NCM43,OUT045,2677.3067980134847
FDR31,OUT010,677.2534011584064
DRK49,OUT018,2267.07751788757
NCI30,OUT010,769.9695903376652
DRD60,OUT017,2678.8561136638555
NCG19,OUT046,2386.2959774241044
FDH12,OUT035,2170.5857789112197
FDM32,OUT035,2170.5857789112197
FDM27,OUT035,2678.8561136638555
NCU53,OUT027,4229.8508764080125
NCQ18,OUT046,1740.6500153156417
FDS10,OUT013,2950.802451959768
FDB33,OUT027,4229.8508764080125
FDI12,OUT013,2707.3156795629625
NCW42,OUT013,3531.4194682704156
NCC06,OUT018,2536.248951968297
FDW02,OUT017,2170.5857789112197
NCD43,OUT017,2170.5857789112197
FDM57,OUT018,2536.248951968297
FDA58,OUT017,2614.663464992494
FDK56,OUT046,2125.349497483324
FDP52,OUT045,2613.1141493421233
FDW20,OUT018,2536.248951968297
FDS52,OUT049,1740.6500153156417
NCT29,OUT018,2536.248951968297
NCL54,OUT013,2950.802451959768
FDC05,OUT045,2677.3067980134847
FDF34,OUT035,2678.8561136638555
FDP03,OUT027,3858.799869487593
FDD32,OUT010,667.962853750561
FDZ10,OUT045,2169.036463260849
FDZ40,OUT035,1842.8680109957897
FDD51,OUT018,2267.07751788757
NCY30,OUT019,597.2868342075113
FDP58,OUT017,2614.663464992494
FDV49,OUT017,2614.663464992494
FDY24,OUT019,566.2304293299921
NCO55,OUT017,2170.5857789112197
FDR13,OUT017,2170.5857789112197
FDS51,OUT017,1842.8680109957897
FDP26,OUT045,2169.036463260849
NCB54,OUT027,3858.799869487593
FDF32,OUT017,2678.8561136638555
FDN31,OUT018,2752.520455283355
DRM48,OUT017,1842.8680109957897
FDN20,OUT049,2125.349497483324
DRL01,OUT046,2386.2959774241044
FDV56,OUT049,1740.6500153156417
DRH13,OUT027,3858.799869487593
FDA03,OUT017,2678.8561136638555
FDF47,OUT027,5132.342222949802
FDX32,OUT046,2125.349497483324
FDX57,OUT049,1740.6500153156417
NCA30,OUT045,2677.3067980134847
FDO49,OUT013,2414.7191153318986
FDL04,OUT019,557.0195586036299
DRM48,OUT035,1842.8680109957897
FDR16,OUT013,3531.4194682704156
NCC19,OUT018,2752.520455283355
NCE42,OUT045,2613.1141493421233
FDY24,OUT017,1842.8680109957897
FDH19,OUT049,2125.349497483324
FDJ46,OUT013,2950.802451959768
FDN45,OUT010,769.9695903376652
FDY08,OUT035,2170.5857789112197
FDZ37,OUT035,2170.5857789112197
NCT30,OUT045,1842.8680109957897
DRY23,OUT018,2267.07751788757
NCZ30,OUT018,2536.248951968297
FDC44,OUT018,2536.248951968297
FDB45,OUT035,2170.5857789112197
FDY04,OUT013,2950.802451959768
FDM27,OUT046,2125.349497483324
FDZ43,OUT017,2614.663464992494
FDT39,OUT019,597.2868342075113
NCC06,OUT019,557.0195586036299
FDL15,OUT027,4229.8508764080125
FDL57,OUT017,2614.663464992494
FDU08,OUT046,1740.6500153156417
FDK40,OUT017,2614.663464992494
FDQ12,OUT010,769.9695903376652
FDS48,OUT017,2678.8561136638555
FDP09,OUT045,2613.1141493421233
FDW21,OUT049,1740.6500153156417
FDY25,OUT035,2678.8561136638555
DRE13,OUT017,2170.5857789112197
FDV43,OUT019,566.2304293299921
FDD22,OUT045,2169.036463260849
FDM46,OUT019,557.0195586036299
NCO30,OUT010,677.2534011584064
FDM25,OUT046,2125.349497483324
NCN41,OUT049,1740.6500153156417
FDU24,OUT045,2169.036463260849
FDZ50,OUT046,2125.349497483324
FDP45,OUT013,3531.4194682704156
NCM54,OUT045,2169.036463260849
FDW10,OUT019,597.2868342075113
FDP20,OUT017,2170.5857789112197
FDK32,OUT046,2125.349497483324
FDN52,OUT049,1740.6500153156417
FDM58,OUT045,2169.036463260849
FDZ46,OUT027,3858.799869487593
NCA18,OUT018,2536.248951968297
FDD35,OUT046,1740.6500153156417
NCK31,OUT035,1842.8680109957897
FDI40,OUT027,3858.799869487593
FDT50,OUT019,557.0195586036299
NCT06,OUT046,2125.349497483324
FDT31,OUT035,2678.8561136638555
FDT45,OUT049,1370.8869648941231
FDT13,OUT045,2677.3067980134847
FDO50,OUT045,2169.036463260849
NCU18,OUT010,677.2534011584064
NCR54,OUT049,2125.349497483324
NCO18,OUT018,2752.520455283355
FDU09,OUT045,1842.8680109957897
FDT13,OUT018,2752.520455283355
FDE09,OUT046,1740.6500153156417
NCK53,OUT019,557.0195586036299
FDG45,OUT049,2389.2437480902304
DRH15,OUT035,1842.8680109957897
FDO21,OUT019,632.2882876531593
FDD14,OUT027,4229.8508764080125
FDC09,OUT046,1740.6500153156417
FDH45,OUT027,3389.3947128677587
FDV32,OUT046,1370.8869648941231
FDG12,OUT035,2170.5857789112197
FDS32,OUT013,2950.802451959768
NCL55,OUT018,3202.928103829106
DRE01,OUT035,2614.663464992494
DRE15,OUT049,1740.6500153156417
NCL42,OUT045,2613.1141493421233
FDP31,OUT013,2414.7191153318986
FDN33,OUT018,2536.248951968297
FDZ59,OUT046,2125.349497483324
FDE45,OUT010,677.2534011584064
FDJ07,OUT013,2707.3156795629625
FDQ45,OUT018,2752.520455283355
FDM33,OUT027,5132.342222949802
FDO15,OUT010,667.962853750561
FDM46,OUT013,2707.3156795629625
FDR03,OUT045,2613.1141493421233
FDY49,OUT018,2752.520455283355
FDQ60,OUT045,2169.036463260849
FDW10,OUT049,2125.349497483324
FDO51,OUT049,1370.8869648941231
FDJ40,OUT018,2536.248951968297
FDS20,OUT018,2752.520455283355
FDU45,OUT013,2707.3156795629625
FDV02,OUT035,2678.8561136638555
FDN09,OUT046,2386.2959774241044
NCM55,OUT027,4229.8508764080125
FDN23,OUT018,2752.520455283355
FDY31,OUT010,677.2534011584064
FDW03,OUT010,667.962853750561
FDD14,OUT046,2125.349497483324
FDV23,OUT017,2170.5857789112197
DRI03,OUT045,2677.3067980134847
FDN13,OUT035,2170.5857789112197
FDF45,OUT027,3389.3947128677587
FDU46,OUT035,2170.5857789112197
FDB57,OUT049,2389.2437480902304
FDV12,OUT049,1740.6500153156417
FDQ58,OUT013,2950.802451959768
NCA18,OUT017,2170.5857789112197
FDH52,OUT049,1370.8869648941231
FDM24,OUT018,2752.520455283355
NCP43,OUT027,4229.8508764080125
NCO18,OUT019,597.2868342075113
FDM32,OUT017,2170.5857789112197
NCL07,OUT017,1842.8680109957897
FDK03,OUT013,3531.4194682704156
FDP59,OUT017,2170.5857789112197
FDQ24,OUT049,2389.2437480902304
FDQ16,OUT018,2536.248951968297
FDU44,OUT013,2950.802451959768
FDH28,OUT010,664.3634888735338
FDV28,OUT019,566.2304293299921
FDM22,OUT045,1842.8680109957897
FDR56,OUT046,2125.349497483324
FDV39,OUT049,2125.349497483324
FDU37,OUT019,557.0195586036299
FDQ11,OUT010,769.9695903376652
FDX02,OUT045,2613.1141493421233
NCS42,OUT018,2536.248951968297
FDY57,OUT027,3858.799869487593
FDB21,OUT049,2389.2437480902304
FDE28,OUT017,2614.663464992494
FDQ55,OUT017,2170.5857789112197
FDA48,OUT049,2389.2437480902304
FDZ19,OUT045,2677.3067980134847
NCC43,OUT045,2613.1141493421233
NCV18,OUT046,1740.6500153156417
NCA42,OUT018,2752.520455283355
FDY45,OUT046,2386.2959774241044
NCC30,OUT045,2677.3067980134847
FDM57,OUT013,2707.3156795629625
FDL09,OUT010,677.2534011584064
FDB09,OUT027,3858.799869487593
FDT44,OUT035,2170.5857789112197
NCT06,OUT027,4229.8508764080125
FDX26,OUT049,2125.349497483324
FDK32,OUT013,2950.802451959768
DRA12,OUT046,2125.349497483324
FDO46,OUT010,677.2534011584064
FDE52,OUT013,2707.3156795629625
NCH42,OUT045,2613.1141493421233
FDV08,OUT035,1842.8680109957897
FDB47,OUT018,3202.928103829106
FDC28,OUT010,667.962853750561
FDD22,OUT046,1740.6500153156417
FDS07,OUT027,3858.799869487593
DRI13,OUT045,2613.1141493421233
FDG32,OUT018,3202.928103829106
FDU14,OUT017,2614.663464992494
FDD28,OUT019,566.2304293299921
NCP41,OUT017,2170.5857789112197
FDS08,OUT049,2125.349497483324
FDX47,OUT045,2677.3067980134847
FDC53,OUT019,557.0195586036299
FDQ19,OUT035,2614.663464992494
FDL14,OUT045,2677.3067980134847
FDM33,OUT019,632.2882876531593
FDA51,OUT045,2169.036463260849
FDZ27,OUT018,2267.07751788757
FDT04,OUT046,1370.8869648941231
DRC13,OUT049,1740.6500153156417
FDR16,OUT027,5132.342222949802
FDQ03,OUT027,5132.342222949802
FDE38,OUT035,2678.8561136638555
DRH23,OUT027,3389.3947128677587
FDT11,OUT019,597.2868342075113
FDD09,OUT035,2678.8561136638555
FDR40,OUT045,2169.036463260849
FDX07,OUT017,2678.8561136638555
FDR07,OUT035,2170.5857789112197
FDA51,OUT017,2170.5857789112197
FDT59,OUT019,632.2882876531593
FDF20,OUT017,2678.8561136638555
FDR13,OUT045,2169.036463260849
FDY26,OUT049,2389.2437480902304
FDW04,OUT017,2170.5857789112197
FDK52,OUT017,2614.663464992494
FDN60,OUT049,2125.349497483324
FDM09,OUT019,597.2868342075113
FDP46,OUT049,1740.6500153156417
FDB50,OUT019,557.0195586036299
NCQ29,OUT049,2389.2437480902304
FDP16,OUT027,5132.342222949802
FDX33,OUT018,2752.520455283355
FDP07,OUT010,677.2534011584064
FDN22,OUT046,2386.2959774241044
FDF39,OUT049,2389.2437480902304
FDS21,OUT017,1842.8680109957897
NCM42,OUT013,2707.3156795629625
FDK50,OUT019,597.2868342075113
DRF13,OUT027,4229.8508764080125
FDH35,OUT018,2752.520455283355
FDP60,OUT018,2536.248951968297
DRJ49,OUT027,3858.799869487593
NCT42,OUT019,597.2868342075113
FDE38,OUT049,2125.349497483324
FDI04,OUT049,2125.349497483324
NCH54,OUT045,2677.3067980134847
FDT56,OUT049,1370.8869648941231
DRD15,OUT018,3202.928103829106
FDV58,OUT013,2950.802451959768
FDP21,OUT049,2125.349497483324
FDH05,OUT013,3531.4194682704156
FDR10,OUT027,4229.8508764080125
NCP06,OUT045,2677.3067980134847
FDF33,OUT049,1740.6500153156417
DRK37,OUT013,2950.802451959768
DRH49,OUT045,2169.036463260849
FDT58,OUT013,2950.802451959768
FDD41,OUT018,2536.248951968297
FDP40,OUT018,2536.248951968297
FDM51,OUT027,3858.799869487593
FDO45,OUT010,667.962853750561
FDW33,OUT010,667.962853750561
FDY24,OUT045,1842.8680109957897
FDB10,OUT010,769.9695903376652
FDM40,OUT035,2678.8561136638555
NCI06,OUT017,2678.8561136638555
FDW12,OUT019,597.2868342075113
FDX48,OUT027,4229.8508764080125
NCW05,OUT027,3858.799869487593
FDX27,OUT017,2170.5857789112197
DRM37,OUT045,2677.3067980134847
FDA38,OUT045,2613.1141493421233
FDR36,OUT046,1370.8869648941231
FDZ45,OUT046,2125.349497483324
FDG05,OUT017,2678.8561136638555
FDK28,OUT013,3531.4194682704156
FDV47,OUT045,2169.036463260849
FDN21,OUT045,2677.3067980134847
FDP20,OUT027,3858.799869487593
FDI35,OUT045,2677.3067980134847
DRY23,OUT013,2414.7191153318986
FDA56,OUT017,2170.5857789112197
FDB09,OUT013,2707.3156795629625
NCO26,OUT027,3858.799869487593
FDQ49,OUT018,2752.520455283355
FDI52,OUT027,3858.799869487593
FDZ44,OUT027,3858.799869487593
FDZ09,OUT018,2752.520455283355
FDY03,OUT049,1740.6500153156417
NCG42,OUT017,2170.5857789112197
DRI13,OUT027,5132.342222949802
FDQ32,OUT013,2707.3156795629625
FDW16,OUT035,2170.5857789112197
FDU27,OUT046,1370.8869648941231
FDR28,OUT010,677.2534011584064
FDQ49,OUT010,677.2534011584064
FDS37,OUT046,1740.6500153156417
FDW26,OUT018,3202.928103829106
FDX12,OUT018,3202.928103829106
NCP06,OUT013,2950.802451959768
FDW45,OUT010,677.2534011584064
NCN30,OUT049,1740.6500153156417
FDN24,OUT049,1370.8869648941231
NCL41,OUT027,3389.3947128677587
FDR02,OUT019,557.0195586036299
FDD09,OUT010,677.2534011584064
FDS33,OUT010,667.962853750561
FDU22,OUT045,2169.036463260849
FDI53,OUT013,2950.802451959768
DRH01,OUT049,2125.349497483324
FDX32,OUT013,2950.802451959768
NCP30,OUT018,2267.07751788757
FDB60,OUT045,2677.3067980134847
FDB14,OUT049,1740.6500153156417
NCP02,OUT035,1842.8680109957897
FDJ10,OUT017,2678.8561136638555
FDG34,OUT046,1740.6500153156417
NCB18,OUT017,2170.5857789112197
FDM16,OUT049,1370.8869648941231
FDW25,OUT018,2536.248951968297
FDB35,OUT010,667.962853750561
DRN11,OUT013,2950.802451959768
FDF41,OUT019,632.2882876531593
FDH16,OUT045,2169.036463260849
NCQ50,OUT018,3202.928103829106
DRH23,OUT018,2267.07751788757
DRJ37,OUT013,2950.802451959768
DRJ24,OUT027,4229.8508764080125
FDY16,OUT035,2678.8561136638555
FDQ27,OUT045,2169.036463260849
FDZ33,OUT045,2677.3067980134847
FDF29,OUT045,2169.036463260849
FDA08,OUT049,2125.349497483324
FDG31,OUT046,1370.8869648941231
FDE34,OUT019,597.2868342075113
NCR30,OUT027,3389.3947128677587
FDV33,OUT035,2614.663464992494
DRZ24,OUT018,2536.248951968297
NCL54,OUT035,2678.8561136638555
FDR12,OUT049,2125.349497483324
NCC54,OUT046,2386.2959774241044
DRN59,OUT013,2414.7191153318986
FDX50,OUT019,557.0195586036299
FDV31,OUT027,4229.8508764080125
NCA29,OUT027,4229.8508764080125
FDW60,OUT049,2125.349497483324
FDX08,OUT017,2678.8561136638555
DRD49,OUT013,3531.4194682704156
FDD33,OUT046,2386.2959774241044
FDW35,OUT013,2414.7191153318986
FDJ36,OUT017,2170.5857789112197
FDV51,OUT035,2678.8561136638555
FDW36,OUT046,1740.6500153156417
FDH35,OUT046,2125.349497483324
NCS30,OUT027,3858.799869487593
FDN49,OUT017,1842.8680109957897
FDL08,OUT018,3202.928103829106
FDI09,OUT013,3531.4194682704156
FDP19,OUT018,2536.248951968297
FDU21,OUT010,664.3634888735338
NCP41,OUT045,2169.036463260849
FDY10,OUT013,2707.3156795629625
FDP12,OUT018,2267.07751788757
NCN26,OUT049,1740.6500153156417
FDK44,OUT013,2950.802451959768
FDC28,OUT049,1740.6500153156417
FDJ41,OUT027,5132.342222949802
NCT29,OUT035,2170.5857789112197
NCH42,OUT019,632.2882876531593
FDU60,OUT018,2752.520455283355
FDS02,OUT045,2677.3067980134847
FDC51,OUT046,1740.6500153156417
FDU03,OUT013,2950.802451959768
FDX39,OUT045,2613.1141493421233
NCY05,OUT010,664.3634888735338
NCL06,OUT027,5132.342222949802
FDD32,OUT035,2170.5857789112197
NCN41,OUT045,2169.036463260849
NCX53,OUT049,2125.349497483324
FDU57,OUT019,597.2868342075113
FDQ23,OUT046,1740.6500153156417
FDQ52,OUT045,2613.1141493421233
FDC14,OUT045,1842.8680109957897
FDY09,OUT035,2678.8561136638555
FDQ28,OUT045,2677.3067980134847
FDV25,OUT046,2386.2959774241044
FDJ07,OUT035,2170.5857789112197
DRB25,OUT049,1740.6500153156417
FDK52,OUT019,632.2882876531593
FDY52,OUT027,3389.3947128677587
FDB28,OUT046,2125.349497483324
FDT36,OUT035,1842.8680109957897
FDV25,OUT017,2614.663464992494
NCN07,OUT027,3858.799869487593
FDC57,OUT017,2678.8561136638555
FDQ03,OUT018,3202.928103829106
FDU23,OUT017,2678.8561136638555
NCX41,OUT035,2614.663464992494
NCD06,OUT035,1842.8680109957897
FDW08,OUT045,2169.036463260849
NCU29,OUT017,2678.8561136638555
NCE06,OUT013,2950.802451959768
FDV52,OUT010,667.962853750561
FDB02,OUT017,2678.8561136638555
NCR18,OUT045,1842.8680109957897
FDK16,OUT049,1740.6500153156417
NCQ29,OUT010,769.9695903376652
FDZ01,OUT019,557.0195586036299
FDW27,OUT035,2678.8561136638555
FDD17,OUT018,3202.928103829106
FDW39,OUT013,2950.802451959768
DRH59,OUT045,1842.8680109957897
FDS52,OUT013,2707.3156795629625
FDU40,OUT027,4229.8508764080125
NCF54,OUT013,2950.802451959768
FDH46,OUT045,2169.036463260849
NCP14,OUT049,1740.6500153156417
FDH50,OUT049,2125.349497483324
DRF15,OUT010,677.2534011584064
FDV27,OUT027,3858.799869487593
NCJ06,OUT049,1740.6500153156417
FDN02,OUT018,3202.928103829106
FDQ51,OUT049,1370.8869648941231
FDQ07,OUT017,2614.663464992494
FDS45,OUT049,1740.6500153156417
NCJ06,OUT045,2169.036463260849
FDD36,OUT035,2170.5857789112197
FDY25,OUT045,2677.3067980134847
FDU52,OUT046,2125.349497483324
DRK47,OUT017,2614.663464992494
NCL30,OUT017,2170.5857789112197
FDN22,OUT035,2614.663464992494
NCF30,OUT027,3858.799869487593
FDK03,OUT035,2614.663464992494
FDT45,OUT017,1842.8680109957897
